[0.000000] (-) TimerEvent: {}
[0.000135] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000164] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000182] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000199] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000214] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000230] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000245] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000260] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000275] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000290] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000304] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000319] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000333] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000349] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000363] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000378] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000392] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000407] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000421] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000439] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000455] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000469] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000484] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000499] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000513] (-) JobUnselected: {'identifier': 'my_package'}
[0.000528] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000543] (-) EventReactorShutdown: {}
